year,mileage,model_name,model_brand_name,transmission,fuelType,sellingCondition,bodyType,mileageUnit,interiorColor,engineType,gradeScore,isFirstOwner
2012,95355,crosstour,honda,automatic,petrol,foreign,hatchback,km,black,6-cylinder(v6),4.800000190734863,true
2003,11,rx 300,lexus,automatic,petrol,local,suv,km,grey,6-cylinder(v6),5.0,true
2009,122344,c 300,mercedes-benz,automatic,petrol,foreign,sedan,km,grey,6-cylinder(v6),4.800000190734863,true
2008,125320,rav 4,toyota,automatic,petrol,foreign,suv,km,grey,4-cylinder(i4),5.0,true
2005,152776,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),5.0,true
2005,195230,matrix,toyota,automatic,petrol,foreign,hatchback,km,grey,4-cylinder(i4),5.0,true
2004,156000,sienna,toyota,automatic,petrol,foreign,minivan,km,grey,5-cylinder(i5),5.0,true
2004,227360,highlander,toyota,automatic,petrol,local,suv,km,grey,6-cylinder(i6),4.900000095367432,true
2006,202609,mdx,acura,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),4.900000095367432,true
2003,135230,rav 4,toyota,automatic,petrol,foreign,suv,km,grey,4-cylinder(i4),5.0,true
2007,35493,matrix,toyota,automatic,petrol,foreign,hatchback,km,grey,4-cylinder(i4),4.699999809265137,true
2009,136321,matrix,toyota,automatic,petrol,foreign,hatchback,km,grey,4-cylinder(i4),4.599999904632568,true
2006,164353,es 300,lexus,automatic,petrol,foreign,sedan,km,black,6-cylinder(v6),4.400000095367432,true
2004,142840,corolla,toyota,automatic,petrol,local,sedan,km,grey,4-cylinder(i4),4.599999904632568,true
2007,78641,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.599999904632568,true
2004,80982,sienna,toyota,automatic,petrol,foreign,minivan,km,grey,6-cylinder(v6),4.599999904632568,true
2008,12134,350,mercedes-benz,automatic,petrol,foreign,suv,km,silver,6-cylinder(v6),4.699999809265137,true
2012,129891,gx 460,lexus,automatic,petrol,foreign,suv,km,black,8-cylinder(i8),5.0,true
2006,129671,gx 470,lexus,automatic,petrol,foreign,suv,km,black,6-cylinder(i6),5.0,true
2011,75616,gx 460,lexus,automatic,petrol,foreign,suv,km,brown,6-cylinder(i6),5.0,true
2015,93305,es 350,lexus,automatic,petrol,foreign,sedan,km,biege,6-cylinder(v6),4.900000095367432,true
2009,233702,rav 4,toyota,automatic,petrol,foreign,suv,km,gold,4-cylinder(i4),5.0,true
2004,99150,sienna,toyota,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),4.900000095367432,true
2007,170094,camry,toyota,automatic,petrol,foreign,sedan,km,silver,4-cylinder(i4),5.0,true
2015,96863,highlander,toyota,automatic,petrol,foreign,suv,km,cream,6-cylinder(i6),4.900000095367432,true
2009,127941,venza,toyota,automatic,petrol,foreign,suv,km,silver,6-cylinder(i6),4.800000190734863,true
2009,84678,venza,toyota,automatic,petrol,local,suv,km,cream,6-cylinder(i6),4.800000190734863,true
2012,122592,camry,toyota,automatic,petrol,foreign,sedan,km,black,4-cylinder(i4),4.800000190734863,true
2010,77231,camry,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.699999809265137,true
2012,58125,sienna,toyota,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),4.900000095367432,true
2007,78650,is 350,lexus,automatic,petrol,foreign,sedan,km,black,6-cylinder(i6),4.800000190734863,true
2008,56421,es 350,lexus,automatic,petrol,foreign,sedan,km,brown,6-cylinder(i6),5.0,true
2005,176015,sienna,toyota,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),4.900000095367432,true
2011,60685,sienna,toyota,automatic,petrol,foreign,suv,km,cream,6-cylinder(i6),4.900000095367432,true
2004,95946,gx 470,lexus,automatic,petrol,foreign,suv,km,cream,8-cylinder(i8),4.900000095367432,true
2011,157127,camry,toyota,automatic,petrol,foreign,sedan,km,silver,4-cylinder(i4),4.699999809265137,true
2011,90185,sienna,toyota,automatic,petrol,foreign,suv,km,grey,4-cylinder(i4),5.0,true
2016,58269,avalon,toyota,automatic,petrol,foreign,sedan,km,biege,6-cylinder(v6),4.800000190734863,true
2003,156935,accord,honda,automatic,petrol,local,sedan,km,grey,4-cylinder(i4),4.699999809265137,true
2001,105781,rx 300,lexus,automatic,petrol,local,suv,km,grey,6-cylinder(v6),4.699999809265137,true
2015,24555,ml 400,mercedes-benz,automatic,petrol,foreign,suv,km,black,6-cylinder(v6),4.599999904632568,true
2003,156358,pilot,honda,automatic,petrol,local,suv,km,grey,6-cylinder(v6),4.699999809265137,true
2006,156325,es 300,lexus,automatic,petrol,local,sedan,km,grey,6-cylinder(v6),4.699999809265137,true
2004,136726,accord,honda,automatic,petrol,local,sedan,km,grey,4-cylinder(i4),4.400000095367432,true
2009,265425,rx 350,lexus,automatic,petrol,local,suv,km,grey,6-cylinder(v6),4.5,true
2003,176603,corolla,toyota,automatic,petrol,local,sedan,km,grey,4-cylinder(i4),4.699999809265137,true
2010,89948,es 350,lexus,automatic,petrol,foreign,sedan,km,black,6-cylinder(v6),4.800000190734863,true
2009,58642,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.900000095367432,true
2007,125778,camry,toyota,automatic,petrol,foreign,sedan,km,cream,6-cylinder(i6),4.800000190734863,true
2003,232028,avensis verso,toyota,automatic,petrol,foreign,sedan,km,silver,4-cylinder(i4),5.0,true
2011,264140,camry,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.900000095367432,true
2008,150596,450,mercedes-benz,automatic,petrol,foreign,suv,km,biege,8-cylinder(v8),5.0,true
2007,118071,camry,toyota,automatic,petrol,foreign,sedan,km,cream,6-cylinder(i6),5.0,true
2011,193994,sienna,toyota,automatic,petrol,foreign,minivan,km,grey,6-cylinder(v6),4.5,true
2013,107200,rio,kia,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.699999809265137,true
2010,24209,wrangler,jeep,automatic,petrol,foreign,suv,km,grey,6-cylinder(v6),4.900000095367432,true
2016,25986,accord,honda,automatic,petrol,foreign,sedan,km,biege & black,4-cylinder(i4),4.900000095367432,true
2008,77932,gx 470,lexus,automatic,petrol,foreign,suv,km,biege,8-cylinder(v8),4.699999809265137,true
2015,87303,c 300,mercedes-benz,automatic,petrol,foreign,sedan,km,gold,6-cylinder(v6),4.699999809265137,true
2008,218865,es 350,lexus,automatic,petrol,foreign,sedan,km,brown,6-cylinder(i6),4.800000190734863,true
2007,220871,pilot,honda,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),4.900000095367432,true
2010,83644,venza,toyota,automatic,petrol,foreign,suv,km,biege,6-cylinder(v6),4.800000190734863,true
2007,147446,camry,toyota,automatic,petrol,foreign,sedan,km,yellow,4-cylinder(i4),5.0,true
2008,75760,mdx,acura,automatic,petrol,foreign,suv,km,brown,6-cylinder(i6),5.0,true
2007,232072,camry,toyota,automatic,petrol,foreign,sedan,km,green,4-cylinder(i4),5.0,true
2007,105221,camry,toyota,automatic,petrol,foreign,sedan,km,red,4-cylinder(i4),5.0,true
2007,145701,camry,toyota,automatic,petrol,foreign,sedan,km,green,4-cylinder(i4),5.0,true
2008,87065,gx 470,lexus,automatic,petrol,foreign,suv,km,black,8-cylinder(v8),5.0,true
2005,186484,camry,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.800000190734863,true
2004,109251,gx 470,lexus,automatic,petrol,foreign,suv,km,grey,8-cylinder(v8),5.0,true
2007,157965,3,mazda,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.400000095367432,true
2011,96131,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.699999809265137,true
2002,100038,gs 300,lexus,automatic,petrol,foreign,sedan,km,grey,6-cylinder(i6),4.900000095367432,true
2012,139832,camry,toyota,automatic,petrol,foreign,sedan,km,gold,4-cylinder(i4),4.699999809265137,true
2008,216280,camry,toyota,automatic,petrol,foreign,sedan,km,grey,6-cylinder(i6),5.0,true
2008,212180,camry,toyota,automatic,petrol,foreign,sedan,km,ash,6-cylinder(i6),5.0,true
2007,175276,camry,toyota,automatic,petrol,foreign,sedan,km,gold,4-cylinder(i4),5.0,true
2010,80305,venza,toyota,automatic,petrol,foreign,suv,km,grey,6-cylinder(v6),5.0,true
2013,134451,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),5.0,true
2007,192774,edge,ford,automatic,petrol,foreign,suv,km,black,6-cylinder(v6),4.800000190734863,true
2015,72251,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),5.0,true
2014,168484,edge,ford,automatic,petrol,local,suv,km,grey,6-cylinder(v6),4.900000095367432,true
2010,93450,is 250,lexus,automatic,petrol,foreign,sedan,km,black,6-cylinder(v6),4.800000190734863,true
2011,43554,ix35,hyundai,automatic,petrol,local,sedan,km,grey,4-cylinder(i4),4.800000190734863,true
2013,65321,i20,hyundai,automatic,petrol,foreign,sedan,km,black,6-cylinder(v6),5.0,true
2007,118986,camry,toyota,automatic,petrol,foreign,sedan,km,grey,6-cylinder(v6),5.0,true
2016,7000,328,bmw,automatic,petrol,foreign,sedan,km,black,6-cylinder(i6),5.0,true
2011,57359,camry,toyota,automatic,petrol,local,sedan,km,brown,5-cylinder(i5),4.599999904632568,true
2011,155653,edge,ford,automatic,petrol,foreign,suv,km,black,6-cylinder(v6),4.900000095367432,true
2010,128319,crosstour,honda,automatic,petrol,foreign,hatchback,km,black,6-cylinder(v6),4.800000190734863,true
2013,67093,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.800000190734863,true
2012,99469,crosstour,honda,automatic,petrol,foreign,hatchback,km,black,6-cylinder(v6),4.5,true
2014,61742,cla 250,mercedes-benz,automatic,petrol,foreign,sedan,km,black,6-cylinder(i6),5.0,true
2015,189033,highlander,toyota,automatic,petrol,foreign,suv,km,other,6-cylinder(i6),4.699999809265137,true
2015,69936,rx 350,lexus,automatic,petrol,foreign,sedan,km,cream,4-cylinder(i4),4.699999809265137,true
2016,153497,es 350,lexus,automatic,petrol,foreign,sedan,km,grey,6-cylinder(v6),4.900000095367432,true
2010,16,hse lr4,range rover,automatic,petrol,foreign,suv,km,yellow,18-cylinder(v18),4.900000095367432,true
2003,210087,highlander,toyota,automatic,petrol,foreign,suv,km,grey,6-cylinder(v6),4.5,true
2008,252871,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.900000095367432,true
2007,256770,camry,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.599999904632568,true
2010,114936,c 320,mercedes-benz,automatic,petrol,foreign,sedan,km,black,6-cylinder(i6),4.900000095367432,true
2008,183367,sienna,toyota,automatic,petrol,foreign,minivan,km,grey,6-cylinder(i6),4.699999809265137,true
2007,75757,camry,toyota,automatic,petrol,foreign,sedan,km,other,4-cylinder(i4),4.599999904632568,true
